Foreign Originating,Foreign Returning,Month,Month Number,U.S. Citizen Originating,U.S. Citizen Returning,Year,__source_file,__source_title
10,6,November,11,21,9,2022,albuquerque.csv,albuquerque
3,12,October,10,28,7,2022,albuquerque.csv,albuquerque
25,2,September,9,15,6,2022,albuquerque.csv,albuquerque
1,7,August,8,10,13,2022,albuquerque.csv,albuquerque
18,15,July,7,9,154,2022,albuquerque.csv,albuquerque
3,0,June,6,13,11,2022,albuquerque.csv,albuquerque
8,8,May,5,17,17,2022,albuquerque.csv,albuquerque
25,13,April,4,31,148,2022,albuquerque.csv,albuquerque
18,21,March,3,33,70,2022,albuquerque.csv,albuquerque
14,15,February,2,135,52,2022,albuquerque.csv,albuquerque
10,2,January,1,27,17,2022,albuquerque.csv,albuquerque
