variable,coef,pvalue,abs_coef
DP03_0003E,0.017125515227077226,0.999995259973374,0.017125515227077226
DP03_0008E,0.017098507207520076,0.9999952669234132,0.017098507207520076
DP04_0054E,-0.01706240665504405,0.999974713335294,0.01706240665504405
DP03_0008PE,0.017047529459788033,0.9999952808951934,0.017047529459788033
DP04_0033M,0.01703599537613218,0.9999969412666175,0.01703599537613218
DP03_0084E,-0.016879429850292026,0.9999942827596934,0.016879429850292026
DP02_0066E,0.01678271815120091,0.9999918385996821,0.01678271815120091
DP02_0024M,-0.016746293306631663,0.9999955701881866,0.016746293306631663
DP04_0070E,0.016720393627845383,0.9999941362020157,0.016720393627845383
DP03_0074M,0.01669384550019638,0.9999973044952631,0.01669384550019638
DP03_0016E,-0.016472433471609454,0.999981881699159,0.016472433471609454
DP04_0112M,0.01646499958291281,0.9999976622774566,0.01646499958291281
DP03_0016PE,-0.016458089669568764,0.99998190092882,0.016458089669568764
DP04_0117PE,-0.01636875690579607,0.9999922961120316,0.01636875690579607
DP04_0117E,-0.01636822458688168,0.9999922963442193,0.01636822458688168
DP04_0137E,0.016349638379203512,0.9999901164256731,0.016349638379203512
DP02_0144M,0.016051396295775996,0.9999967498906885,0.016051396295775996
DP03_0048E,-0.01591516758316476,0.9999932329406737,0.01591516758316476
DP04_0055E,0.015896268010395682,0.9999837570842844,0.015896268010395682
DP03_0081E,0.015882124175599973,0.9999898187957654,0.015882124175599973
DP02_0063M,0.015877805806300202,0.9999962407125249,0.015877805806300202
DP02_0134E,0.015748027020784143,0.9999918887453093,0.015748027020784143
DP03_0006E,-0.015698400843493027,0.9999986203489515,0.015698400843493027
DP05_0088E,0.015553893455531636,0.9999938811711819,0.015553893455531636
DP03_0023E,-0.015450968441986523,0.9999861556644799,0.015450968441986523
DP05_0009E,-0.015425473253920435,0.9999981104747931,0.015425473253920435
DP03_0044E,0.01539600233682073,0.9999882701283734,0.01539600233682073
DP05_0014M,0.015134744833157451,0.9999989712484068,0.015134744833157451
DP05_0013M,0.015106870483771961,0.9999989745611824,0.015106870483771961
DP03_0067M,0.015069625262138522,0.9999795544882711,0.015069625262138522
DP04_0032M,0.014946871138394713,0.9999973518800661,0.014946871138394713
DP05_0042M,0.014893258753660543,0.9999986499668596,0.014893258753660543
DP02_0143E,-0.014868752187223652,0.9999884505544088,0.014868752187223652
DP04_0105E,0.01480279146784089,0.9999848042770029,0.01480279146784089
DP04_0091M,0.01475439381502669,0.9999991600827804,0.01475439381502669
DP04_0093M,0.01475410005682884,0.999999160099621,0.01475410005682884
DP04_0100E,0.014708252753187441,0.9999903575077403,0.014708252753187441
DP04_0027M,0.014575913562898238,0.9999904240901758,0.014575913562898238
DP04_0038M,0.014575812440928738,0.9999904241605527,0.014575812440928738
DP05_0091M,0.014575773029337193,0.9999904241856279,0.014575773029337193
DP04_0016M,0.014575740164189582,0.9999904242109096,0.014575740164189582
DP04_0006M,0.01457570176700207,0.9999904242367963,0.01457570176700207
DP04_0001M,0.014575698646966681,0.9999904242409707,0.014575698646966681
DP04_0121E,0.014564673974357713,0.9999965608641995,0.014564673974357713
DP02_0012E,0.01456060202537105,0.9999936864279906,0.01456060202537105
DP03_0100E,-0.014530888726169342,0.999991874005285,0.014530888726169342
DP03_0100PE,-0.014524823270652094,0.999991877997942,0.014524823270652094
DP05_0070E,0.014364176145097258,0.9999933508478368,0.014364176145097258
DP04_0133E,0.014329922400779085,0.9999916263792525,0.014329922400779085
DP05_0065E,0.01414531391602853,0.9999947596314397,0.01414531391602853
DP04_0030E,0.014116464561017537,0.999985868397943,0.014116464561017537
DP05_0069M,0.01411190614128957,0.9999972039446602,0.01411190614128957
DP05_0063M,-0.014099667534099816,0.9999979157886087,0.014099667534099816
DP03_0099E,0.013991870252352157,0.9999951368328057,0.013991870252352157
DP05_0050E,-0.013940153793799242,0.9999884542543727,0.013940153793799242
DP04_0010E,0.013889536073176889,0.9999861930955417,0.013889536073176889
DP02_0054M,0.013884429577762557,0.9999981766170729,0.013884429577762557
DP03_0049M,-0.013802840105198604,0.9999976852022298,0.013802840105198604
DP03_0042M,0.013768308569192518,0.9999966799809631,0.013768308569192518
DP05_0010E,0.013758319763843715,0.9999984246535203,0.013758319763843715
DP05_0054E,-0.01375468395236191,0.9999879956408413,0.01375468395236191
DP03_0118E,0.01374423777868276,0.9999950941859855,0.01374423777868276
DP02_0006E,-0.013679161882376736,0.9999975777732326,0.013679161882376736
DP02_0004E,0.013588390406603784,0.9999979526861008,0.013588390406603784
DP02_0117M,0.013449257432749665,0.999998123456019,0.013449257432749665
DP05_0015E,0.013319265857799847,0.999988512465215,0.013319265857799847
DP05_0076E,0.013314330303987537,0.9999916880862887,0.013314330303987537
DP04_0035E,0.013269049771209353,0.9999891640670732,0.013269049771209353
